image,path,label
IMG_20260505_181436_050_jpg.rf.a9fc174bcf1fd99e1cf1230289f5dc03.jpg,/content/drive/MyDrive/capstone/dataset/campur indo/Dataset ocr 1.v2-campuran-indo.tensorflow/train/IMG_20260505_181436_050_jpg.rf.a9fc174bcf1fd99e1cf1230289f5dc03.jpg,train
X51005447839_jpg.rf.c9cdc8c07b6b2c86b215a1315a36e93c.jpg,/content/drive/MyDrive/capstone/dataset/campur indo/Dataset ocr 1.v2-campuran-indo.tensorflow/train/X51005447839_jpg.rf.c9cdc8c07b6b2c86b215a1315a36e93c.jpg,train
X51005724611_jpg.rf.93ad43f7cdaa927bb556bf13729f29fa.jpg,/content/drive/MyDrive/capstone/dataset/campur indo/Dataset ocr 1.v2-campuran-indo.tensorflow/train/X51005724611_jpg.rf.93ad43f7cdaa927bb556bf13729f29fa.jpg,train
X51005724627_jpg.rf.378fd5e6bf5bf565043cb38901f5b4da.jpg,/content/drive/MyDrive/capstone/dataset/campur indo/Dataset ocr 1.v2-campuran-indo.tensorflow/train/X51005724627_jpg.rf.378fd5e6bf5bf565043cb38901f5b4da.jpg,train
X51005712021_jpg.rf.35c209b7a7dccd8d7b9f802ea99f63ae.jpg,/content/drive/MyDrive/capstone/dataset/campur indo/Dataset ocr 1.v2-campuran-indo.tensorflow/train/X51005712021_jpg.rf.35c209b7a7dccd8d7b9f802ea99f63ae.jpg,train
X51005577192_jpg.rf.148a366edd35a082b12fef27a00b8d5a.jpg,/content/drive/MyDrive/capstone/dataset/campur indo/Dataset ocr 1.v2-campuran-indo.tensorflow/train/X51005577192_jpg.rf.148a366edd35a082b12fef27a00b8d5a.jpg,train
X51005676544_jpg.rf.6a9b8f61e9da1e7fc6e9d711b53966b0.jpg,/content/drive/MyDrive/capstone/dataset/campur indo/Dataset ocr 1.v2-campuran-indo.tensorflow/train/X51005676544_jpg.rf.6a9b8f61e9da1e7fc6e9d711b53966b0.jpg,train
X51005719873_jpg.rf.717be26bd6c5dafcd2ecdb58a954944d.jpg,/content/drive/MyDrive/capstone/dataset/campur indo/Dataset ocr 1.v2-campuran-indo.tensorflow/train/X51005719873_jpg.rf.717be26bd6c5dafcd2ecdb58a954944d.jpg,train
Screenshot_2026-05-13-23-53-23-33_80570b5d52bfa51b3316d695d584b313_jpg.rf.4f947e8197a091b98730c249f823cd18.jpg,/content/drive/MyDrive/capstone/dataset/campur indo/Dataset ocr 1.v2-campuran-indo.tensorflow/train/Screenshot_2026-05-13-23-53-23-33_80570b5d52bfa51b3316d695d584b313_jpg.rf.4f947e8197a091b98730c249f823cd18.jpg,train
WhatsApp-Image-2026-05-11-at-22-28-43_jpeg.rf.912789fafadfccbd83ed121c4ce94ab1.jpg,/content/drive/MyDrive/capstone/dataset/campur indo/Dataset ocr 1.v2-campuran-indo.tensorflow/train/WhatsApp-Image-2026-05-11-at-22-28-43_jpeg.rf.912789fafadfccbd83ed121c4ce94ab1.jpg,train
IMG_7156_HEIC.rf.4ba19a5333e62a77a092a676736d4c1d.jpg,/content/drive/MyDrive/capstone/dataset/campur indo/Dataset ocr 1.v2-campuran-indo.tensorflow/train/IMG_7156_HEIC.rf.4ba19a5333e62a77a092a676736d4c1d.jpg,train
X51005676541_jpg.rf.889506b9934ecb8846168b7263659a8f.jpg,/content/drive/MyDrive/capstone/dataset/campur indo/Dataset ocr 1.v2-campuran-indo.tensorflow/train/X51005676541_jpg.rf.889506b9934ecb8846168b7263659a8f.jpg,train
X51005757201_jpg.rf.ad2f9f5f404e16ae65a1a21318e591f9.jpg,/content/drive/MyDrive/capstone/dataset/campur indo/Dataset ocr 1.v2-campuran-indo.tensorflow/train/X51005757201_jpg.rf.ad2f9f5f404e16ae65a1a21318e591f9.jpg,train
